Domain,Type,Sponsoring Organization,Date
.aaa,generic,"American Automobile Association, Inc.",2025-07-19
.aarp,generic,AARP,2025-07-19
.abarth,generic,Not assigned,2025-07-19
.abb,generic,ABB Ltd,2025-07-19
.abbott,generic,"Abbott Laboratories, Inc.",2025-07-19
.abbvie,generic,AbbVie Inc.,2025-07-19
.abc,generic,"Disney Enterprises, Inc.",2025-07-19
.able,generic,Able Inc.,2025-07-19
.abogado,generic,"Registry Services, LLC",2025-07-19
.abudhabi,generic,Abu Dhabi Systems and Information Centre,2025-07-19
.academy,generic,"Binky Moon, LLC",2025-07-19
.accenture,generic,Accenture plc,2025-07-19
.accountant,generic,dot Accountant Limited,2025-07-19
.accountants,generic,"Binky Moon, LLC",2025-07-19
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,2025-07-19
.active,generic,Not assigned,2025-07-19
.actor,generic,"Dog Beach, LLC",2025-07-19
.adac,generic,Not assigned,2025-07-19
.ads,generic,Charleston Road Registry Inc.,2025-07-19
.adult,generic,ICM Registry AD LLC,2025-07-19
.aeg,generic,Aktiebolaget Electrolux,2025-07-19
.aetna,generic,Aetna Life Insurance Company,2025-07-19
.afamilycompany,generic,Not assigned,2025-07-19
.afl,generic,Australian Football League,2025-07-19
.africa,generic,ZA Central Registry NPC trading as Registry.Africa,2025-07-19
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),2025-07-19
.agency,generic,"Binky Moon, LLC",2025-07-19
.aig,generic,"American International Group, Inc.",2025-07-19
.aigo,generic,Not assigned,2025-07-19
.airbus,generic,Airbus S.A.S.,2025-07-19
.airforce,generic,"Dog Beach, LLC",2025-07-19
.airtel,generic,Bharti Airtel Limited,2025-07-19
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),2025-07-19
.alfaromeo,generic,Not assigned,2025-07-19
.alibaba,generic,Alibaba Group Holding Limited,2025-07-19
.alipay,generic,Alibaba Group Holding Limited,2025-07-19
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2025-07-19
.allstate,generic,Allstate Fire and Casualty Insurance Company,2025-07-19
.ally,generic,Ally Financial Inc.,2025-07-19
.alsace,generic,REGION GRAND EST,2025-07-19
.alstom,generic,ALSTOM,2025-07-19
.amazon,generic,"Amazon Registry Services, Inc.",2025-07-19
.americanexpress,generic,"American Express Travel Related Services Company, Inc.",2025-07-19
.americanfamily,generic,"AmFam, Inc.",2025-07-19
.amex,generic,"American Express Travel Related Services Company, Inc.",2025-07-19
.amfam,generic,"AmFam, Inc.",2025-07-19
.amica,generic,Amica Mutual Insurance Company,2025-07-19
.amsterdam,generic,Gemeente Amsterdam,2025-07-19
.analytics,generic,Campus IP LLC,2025-07-19
.android,generic,Charleston Road Registry Inc.,2025-07-19
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.,2025-07-19
.anz,generic,Australia and New Zealand Banking Group Limited,2025-07-19
.aol,generic,Yahoo Inc.,2025-07-19
.apartments,generic,"Binky Moon, LLC",2025-07-19
.app,generic,Charleston Road Registry Inc.,2025-07-19
.apple,generic,Apple Inc.,2025-07-19
.aquarelle,generic,Aquarelle.com,2025-07-19
.arab,generic,League of Arab States,2025-07-19
.aramco,generic,Aramco Services Company,2025-07-19
.archi,generic,Identity Digital Limited,2025-07-19
.army,generic,"Dog Beach, LLC",2025-07-19
.art,generic,UK Creative Ideas Limited,2025-07-19
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.,2025-07-19
.asda,generic,Asda Stores Limited,2025-07-19
.associates,generic,"Binky Moon, LLC",2025-07-19
.athleta,generic,"The Gap, Inc.",2025-07-19
.attorney,generic,"Dog Beach, LLC",2025-07-19
.auction,generic,"Dog Beach, LLC",2025-07-19
